timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1743687548394,742,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-38,text,true,,4986,598,36,57,https://petstore.octoperf.com/actions/Catalog.action,742,0,560
1743687548440,735,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-44,,true,,4990,598,36,57,null,0,0,578
1743687548440,735,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-44,text,true,,4990,598,36,57,https://petstore.octoperf.com/actions/Catalog.action,735,0,578
1743687549018,166,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,,true,,3441,987,36,57,null,0,0,0
1743687549018,166,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-59,text,true,,3441,987,36,57,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,166,0,0
1743687548440,750,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,,true,,4986,598,36,57,null,0,0,578
1743687548440,750,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-61,text,true,,4986,598,36,57,https://petstore.octoperf.com/actions/Catalog.action,749,0,578
1743687548468,721,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-46,,true,,4986,598,36,57,null,0,1,554
1743687548469,721,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-46,text,true,,4986,598,36,57,https://petstore.octoperf.com/actions/Catalog.action,721,0,554
1743687545515,3677,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-56,,true,,4986,598,36,57,null,0,0,3521
1743687549018,174,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-52,,true,,3441,987,36,57,null,0,0,0
1743687545515,3677,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-56,text,true,,4986,598,36,57,https://petstore.octoperf.com/actions/Catalog.action,3677,0,3521
1743687549018,174,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-52,text,true,,3441,987,36,57,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,174,0,0
1743687548459,760,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-29,,true,,4987,598,36,57,null,0,1,563
1743687548460,760,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-29,text,true,,4987,598,36,57,https://petstore.octoperf.com/actions/Catalog.action,760,0,563
1743687548523,699,NavigateToWebsite,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-55,,true,,4986,598,36,57,null,0,1,512
1743687548524,699,NavigateToWebsite-7,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-55,text,true,,4986,598,36,57,https://petstore.octoperf.com/actions/Catalog.action,699,0,512
1743687549049,181,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-31,,true,,3442,988,36,57,null,0,0,0
1743687549049,181,SearchPet-24,200,,Scenario1 - Search - jp@gc - Ultimate Thread Group 1-31,text,true,,3442,988,36,57,https://petstore.octoperf.com/actions/Catalog.action;jsessionid=1B16E0AE7A07EB7A08B873F865341B59,181,0,0
1743687549049,183,SearchPet,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario1 - Search - jp@gc - Ultimate Thread Group 1-33,,true,,3445,991,36,57,null,0,0,0
